state,dist_mode,scenario,n_models,ens_equal,ens_benchmark,median,min,max,between_sd,lo90,hi90
AL,nodisturb,reserve,3,974.5,974.5,909.8,768,1245.7,245.3,506.2,1313.4
AL,disturbed,reserve,3,961,961,897.6,756.5,1229,242.6,498.6,1296.6
AL,nodisturb,conservation,3,812.3,812.3,762.6,628.7,1045.7,212.9,412.4,1112.8
AL,disturbed,conservation,3,799.9,799.9,751.4,618.1,1030.3,210.3,405.4,1097.4
AL,nodisturb,BAU,3,606.4,606.4,576.2,453.9,789,169.6,297.2,855.2
AL,disturbed,BAU,3,595.5,595.5,566.4,444.7,775.5,167.3,291.2,841.6
AL,nodisturb,intensive,3,374.6,374.6,367.4,262.2,494.2,116.2,176.3,558.5
AL,disturbed,intensive,3,365.9,365.9,359.5,255,483.3,114.3,171.5,547.5
AR,nodisturb,reserve,4,617.6,664.5,673.6,289.4,833.9,241.8,275.9,1071.4
AR,disturbed,reserve,4,607.2,653.5,662,283.2,821.6,239,268.8,1055.2
AR,nodisturb,conservation,4,572.1,616.5,622.9,261.3,781.3,230.6,243.5,1002.2
AR,disturbed,conservation,4,562,605.8,611.6,255.3,769.4,227.9,236.6,986.6
AR,nodisturb,BAU,4,504.6,545.3,547.6,220.3,703,213.7,196,899.3
AR,disturbed,BAU,4,495.1,535.2,537,214.7,691.7,211.2,189.6,884.4
AR,nodisturb,intensive,4,390.3,424.2,419.8,153.1,568.5,183.8,117.5,722.1
AR,disturbed,intensive,4,381.7,415.1,410.2,148.1,558.4,181.5,111.6,708.8
AZ,nodisturb,reserve,4,174,181.1,189.8,72.5,244.1,80.6,57.1,322.4
AZ,disturbed,reserve,4,171.5,178.5,186.8,71.2,241,79.7,55.8,317.9
AZ,nodisturb,conservation,4,174,181.1,189.8,72.5,244.1,80.6,57.1,322.4
AZ,disturbed,conservation,4,171.5,178.5,186.8,71.2,241,79.7,55.8,317.9
AZ,nodisturb,BAU,4,174,181.1,189.8,72.5,244.1,80.6,57.1,322.4
AZ,disturbed,BAU,4,171.5,178.5,186.8,71.2,241,79.7,55.8,317.9
AZ,nodisturb,intensive,4,174,181.1,189.8,72.5,244.1,80.6,57.1,322.4
AZ,disturbed,intensive,4,171.5,178.5,186.8,71.2,241,79.7,55.8,317.9
CA,nodisturb,reserve,4,1750.3,1627.5,1381.8,504.5,3733.4,1385.2,0,3660.4
CA,disturbed,reserve,4,1580.2,1465.4,1236.1,434,3414.5,1280,0,3341.7
CA,nodisturb,conservation,4,1749.9,1627,1381.3,504.3,3732.6,1385,0,3659.6
CA,disturbed,conservation,4,1579.8,1465.1,1235.8,433.8,3413.7,1279.7,0,3340.9
CA,nodisturb,BAU,4,1749.2,1626.4,1380.8,504,3731.4,1384.6,0,3658.4
CA,disturbed,BAU,4,1579.1,1464.4,1235.2,433.5,3412.6,1279.4,0,3339.8
CA,nodisturb,intensive,4,1747.6,1624.8,1379.3,503.1,3728.5,1383.7,0,3655.5
CA,disturbed,intensive,4,1577.5,1462.9,1233.8,432.7,3409.8,1278.6,0,3337
CO,nodisturb,reserve,4,383.7,391.2,406.1,127.6,594.9,201.7,74.3,737.9
CO,disturbed,reserve,4,353.7,360.7,374.6,113.5,552,189.4,63,686.2
CO,nodisturb,conservation,4,383.7,391.2,406.1,127.6,594.9,201.7,74.3,737.9
CO,disturbed,conservation,4,353.7,360.7,374.6,113.5,552,189.4,63,686.2
CO,nodisturb,BAU,4,383.7,391.2,406.1,127.6,594.9,201.7,74.3,737.9
CO,disturbed,BAU,4,353.7,360.7,374.6,113.5,552,189.4,63,686.2
CO,nodisturb,intensive,4,383.7,391.2,406.1,127.6,594.9,201.7,74.3,737.9
CO,disturbed,intensive,4,353.7,360.7,374.6,113.5,552,189.4,63,686.2
CT,nodisturb,reserve,3,107.6,107.6,99.4,67.2,156.2,45.1,25.3,173.5
CT,disturbed,reserve,3,103.2,103.2,95.4,63.9,150.4,43.8,23.4,167.4
CT,nodisturb,conservation,3,107.3,107.3,99.1,67,155.8,45,25.1,173.1
CT,disturbed,conservation,3,102.9,102.9,95.1,63.7,150,43.7,23.2,167
CT,nodisturb,BAU,3,106.8,106.8,98.7,66.6,155.2,44.9,24.9,172.5
CT,disturbed,BAU,3,102.5,102.5,94.7,63.3,149.4,43.6,23,166.4
CT,nodisturb,intensive,3,105.7,105.7,97.7,65.8,153.7,44.5,24.5,170.9
CT,disturbed,intensive,3,101.4,101.4,93.7,62.5,148,43.3,22.5,164.9
DE,nodisturb,reserve,3,17.9,17.9,18.8,16,18.8,1.6,16.1,21.5
DE,disturbed,reserve,3,17.7,17.7,18.6,15.8,18.6,1.6,15.9,21.3
DE,nodisturb,conservation,3,17.9,17.9,18.8,16,18.8,1.6,16.1,21.5
DE,disturbed,conservation,3,17.7,17.7,18.6,15.8,18.6,1.6,15.9,21.3
DE,nodisturb,BAU,3,17.8,17.8,18.8,15.9,18.8,1.7,16,21.6
DE,disturbed,BAU,3,17.7,17.7,18.6,15.8,18.6,1.6,15.9,21.3
DE,nodisturb,intensive,3,17.8,17.8,18.7,15.9,18.7,1.6,16,21.4
DE,disturbed,intensive,3,17.6,17.6,18.5,15.7,18.5,1.6,15.8,21.2
FL,nodisturb,reserve,3,512.2,512.2,504,369.8,662.7,146.6,262.8,745.2
FL,disturbed,reserve,3,498.2,498.2,489.9,357.9,646.7,144.6,252.1,727.7
FL,nodisturb,conservation,3,372.5,372.5,362.5,250.3,504.8,127.5,152.7,572.3
FL,disturbed,conservation,3,360.4,360.4,350.2,240.2,490.8,125.6,143.6,556.8
FL,nodisturb,BAU,3,229.4,229.4,217.8,132.1,338.3,103.6,47.4,388.2
FL,disturbed,BAU,3,219.6,219.6,207.9,124,326.9,102,40.2,375.6
FL,nodisturb,intensive,3,125.9,125.9,112.9,57.2,207.5,76,0,237.9
FL,disturbed,intensive,3,120,120,105.5,55.6,198.9,72.7,0,225.2
GA,nodisturb,reserve,3,961.9,961.9,1006.9,834,1044.8,112.4,822,1191.8
GA,disturbed,reserve,3,951,951,996,824.2,1032.9,111.4,812.8,1179.2
GA,nodisturb,conservation,3,510.2,510.2,546.7,430.2,553.8,69.4,432.5,660.9
GA,disturbed,conservation,3,502.2,502.2,537.8,423.1,545.6,68.6,425,650.6
GA,nodisturb,BAU,3,259.4,259.4,268.8,213.6,295.7,41.9,199.9,337.7
GA,disturbed,BAU,3,253.6,253.6,262.4,208.5,289.8,41.4,194.4,330.4
GA,nodisturb,intensive,3,163.2,163.2,164.5,136.6,188.5,26,121.8,207.2
GA,disturbed,intensive,3,159.1,159.1,160,133.1,184.3,25.6,117.9,202.1
IA,nodisturb,reserve,3,127.3,127.3,134.5,93.7,153.8,30.7,84,185
IA,disturbed,reserve,3,125,125,132.2,91.7,151.1,30.3,82.3,182.1
IA,nodisturb,conservation,3,82.1,82.1,89.5,54.8,102.1,24.5,49.2,129.8
IA,disturbed,conservation,3,80.3,80.3,87.6,53.2,100,24.2,47.7,127.5
IA,nodisturb,BAU,3,49.4,49.4,56.4,27.9,63.8,19,25.2,87.6
IA,disturbed,BAU,3,48,48,55,26.7,62.2,18.8,24.1,85.9
IA,nodisturb,intensive,3,27.9,27.9,33.1,13.9,36.6,12.2,13,53.2
IA,disturbed,intensive,3,27,27,32,13.6,35.5,11.8,12.6,51.4
ID,nodisturb,reserve,3,687.2,645.1,615.9,547.8,897.9,185.6,310.6,921.2
ID,disturbed,reserve,3,501.5,469.2,449.4,392,663.1,142.9,214.4,684.4
ID,nodisturb,conservation,3,684.6,642.6,613.6,545.5,894.7,185.1,309.1,918.1
ID,disturbed,conservation,3,499.2,467,447.3,390,660.3,142.4,213,681.6
ID,nodisturb,BAU,3,679.6,637.8,609,541.2,888.6,184.1,306.1,911.9
ID,disturbed,BAU,3,494.8,462.8,443.3,386.2,654.9,141.6,210.4,676.2
