state,dist_mode,scenario,n_models,ens_equal,ens_benchmark,median,min,max,between_sd,lo90,hi90
AL,nodisturb,reserve,4,825.5,889.3,838.9,378.4,1245.7,359.1,248.2,1429.6
AL,disturbed,reserve,4,813.7,876.8,827,371.7,1229,355,243,1411.1
AL,nodisturb,conservation,4,530.8,576.5,542.1,211.1,827.9,257.2,119,965.2
AL,disturbed,conservation,4,521.2,566.2,532.4,205.8,814.1,253.7,115,949.8
AL,nodisturb,BAU,4,291.6,320.2,301,91.1,473.2,162,34.5,567.5
AL,disturbed,BAU,4,284.2,312.4,293.6,87.2,462.5,159.2,31.6,555.6
AL,nodisturb,intensive,4,162.2,178.3,168.8,49.3,261.9,93.2,15.5,322.1
AL,disturbed,intensive,4,157.5,173.1,163.6,48.9,254.2,90.3,15.1,312
AR,nodisturb,reserve,4,617.6,664.5,673.6,289.4,833.9,241.8,275.9,1071.4
AR,disturbed,reserve,4,607.2,653.5,662,283.2,821.6,239,268.8,1055.2
AR,nodisturb,conservation,4,432.7,469.1,467.2,177.6,618.7,195.1,146.2,788.3
AR,disturbed,conservation,4,423.8,459.7,457.3,172.4,608.1,192.7,140.2,774.4
AR,nodisturb,BAU,4,259.4,284.9,273,81.4,410.4,146.2,32.4,513.5
AR,disturbed,BAU,4,252.2,277.2,264.9,77.3,401.8,144.3,27.5,502.3
AR,nodisturb,intensive,4,139,152.9,137.2,41.4,240.3,88.7,0,283.1
AR,disturbed,intensive,4,135.4,148.9,133.3,41,233.9,85.7,0,274.4
AZ,nodisturb,reserve,4,174,181.1,189.8,72.5,244.1,80.6,57.1,322.4
AZ,disturbed,reserve,4,171.5,178.5,186.8,71.2,241,79.7,55.8,317.9
AZ,nodisturb,conservation,4,169.1,176,184.2,69.7,238.2,78.9,54.3,314
AZ,disturbed,conservation,4,166.6,173.5,181.3,68.4,235.2,78,53,309.7
AZ,nodisturb,BAU,4,159,165.9,172.8,64,226.3,75.5,48.6,297
AZ,disturbed,BAU,4,156.5,163.4,170,62.8,223.3,74.5,47.4,292.6
AZ,nodisturb,intensive,4,145.4,152.2,157.5,56.6,210.2,70.7,41.1,273.9
AZ,disturbed,intensive,4,143.1,149.8,154.8,55.4,207.3,69.8,40,269.7
CA,nodisturb,reserve,4,1750.3,1627.5,1381.8,504.5,3733.4,1385.2,0,3660.4
CA,disturbed,reserve,4,1580.2,1465.4,1236.1,434,3414.5,1280,0,3341.7
CA,nodisturb,conservation,4,1630,1511.9,1275.8,446.6,3521.6,1320.3,0,3447.7
CA,disturbed,conservation,4,1465,1354.9,1134.8,378.8,3211.8,1217.8,0,3138.1
CA,nodisturb,BAU,4,1473.3,1361.8,1138.7,373.2,3242.8,1233.6,0,3167.9
CA,disturbed,BAU,4,1315.5,1211.6,1003.8,309.1,2945.3,1134.8,0,2870.6
CA,nodisturb,intensive,4,1155.1,1057.8,863,233,2661.3,1047.1,0,2585.6
CA,disturbed,intensive,4,1013.3,923,742.3,176.8,2391.8,956.9,0,2316.4
CO,nodisturb,reserve,4,383.7,391.2,406.1,127.6,594.9,201.7,74.3,737.9
CO,disturbed,reserve,4,353.7,360.7,374.6,113.5,552,189.4,63,686.2
CO,nodisturb,conservation,4,377.3,384.7,399.4,124.2,586.1,199.4,71.4,727.4
CO,disturbed,conservation,4,347.5,354.3,368.1,110.2,543.5,187.2,60.2,676
CO,nodisturb,BAU,4,367.1,374.3,388.8,118.8,572.1,195.7,66.8,710.7
CO,disturbed,BAU,4,337.6,344.3,357.8,104.9,529.9,183.6,55.7,659.9
CO,nodisturb,intensive,4,345.5,352.4,366.1,107.4,542.2,187.8,57.1,675.2
CO,disturbed,intensive,4,316.8,323.2,336,94,501.1,176,46.4,625.6
CT,nodisturb,reserve,4,92.3,98.8,83.3,46.3,156.2,47.9,4.5,162.1
CT,disturbed,reserve,4,88.4,94.7,79.7,43.8,150.4,46.5,3.2,156.1
CT,nodisturb,conservation,4,86.6,92.9,77.9,42.6,147.9,45.9,2.3,153.5
CT,disturbed,conservation,4,82.8,88.9,74.4,40.2,142.3,44.6,1.1,147.7
CT,nodisturb,BAU,4,78.4,84.2,70.2,37.4,135.8,43,0,140.9
CT,disturbed,BAU,4,74.8,80.4,66.8,35.1,130.4,41.7,0,135.4
