Year,EcoregionName,SpeciesCode,ProbEstablish,ProbMortality,ANPPmax,BiomassMax
0,54,AE,0.55,0.0,1050,24000
0,54,BAS,0.40,0.0,850,20000
0,54,BE,0.55,0.0,1200,32000
0,54,BLACKGUM,0.55,0.0,950,22000
0,54,BO,0.75,0.0,1250,34000
0,54,BSW,0.60,0.0,1200,32000
0,54,COTT,0.55,0.0,1812,54000
0,54,DOGWOOD,0.55,0.0,400,6000
0,54,EWP,0.55,0.0,1100,32000
0,54,MOK_HK,0.65,0.0,1100,30000
0,54,NRO,0.85,0.0,1300,36000
0,54,POST,0.65,0.0,1100,28000
0,54,QA,0.45,0.0,950,18000
0,54,RM,0.85,0.0,1100,28000
0,54,SASSAFRAS,0.55,0.0,650,12000
0,54,SHA_HK,0.65,0.0,1100,30000
0,54,SHO,0.70,0.0,1150,30000
0,54,SIM,0.70,0.0,1298,35000
0,54,SM,0.85,0.0,1250,32000
0,54,SWEETGUM,0.45,0.0,1300,32000
0,54,SYC,0.65,0.0,1450,40000
0,54,WALN,0.55,0.0,1100,28000
0,54,WAS,0.65,0.0,1100,28000
0,54,WO,0.85,0.0,1350,38000
0,54,YP,0.55,0.0,1500,40000
0,55,AE,0.60,0.0,1100,26000
0,55,BAS,0.45,0.0,900,22000
0,55,BE,0.65,0.0,1300,34000
0,55,BLACKGUM,0.65,0.0,1000,24000
0,55,BO,0.75,0.0,1300,36000
0,55,BSW,0.65,0.0,1250,34000
0,55,COTT,0.55,0.0,1875,56700
0,55,DOGWOOD,0.55,0.0,400,6000
0,55,EWP,0.65,0.0,1200,34000
0,55,MOK_HK,0.70,0.0,1150,32000
0,55,NRO,0.85,0.0,1350,38000
0,55,POST,0.65,0.0,1150,30000
0,55,QA,0.35,0.0,900,16000
0,55,RM,0.85,0.0,1150,30000
0,55,SASSAFRAS,0.60,0.0,700,14000
0,55,SHA_HK,0.70,0.0,1150,32000
0,55,SHO,0.75,0.0,1200,32000
0,55,SIM,0.70,0.0,1357,37500
0,55,SM,0.85,0.0,1300,34000
0,55,SWEETGUM,0.55,0.0,1400,34000
0,55,SYC,0.70,0.0,1500,42000
0,55,WALN,0.60,0.0,1150,30000
0,55,WAS,0.65,0.0,1150,30000
0,55,WO,0.85,0.0,1400,40000
0,55,YP,0.65,0.0,1600,42000
0,56,AE,0.60,0.0,1100,26000
0,56,BAS,0.55,0.0,900,22000
0,56,BE,0.75,0.0,1350,36000
0,56,BLACKGUM,0.55,0.0,950,22000
0,56,BO,0.70,0.0,1200,32000
0,56,BSW,0.70,0.0,1300,36000
0,56,COTT,0.55,0.0,1750,51300
0,56,DOGWOOD,0.50,0.0,400,6000
0,56,EWP,0.65,0.0,1250,36000
0,56,MOK_HK,0.60,0.0,1050,28000
0,56,NRO,0.85,0.0,1300,36000
0,56,POST,0.55,0.0,1000,24000
0,56,QA,0.55,0.0,1050,20000
0,56,RM,0.90,0.0,1200,32000
0,56,SASSAFRAS,0.45,0.0,600,12000
0,56,SHA_HK,0.65,0.0,1050,28000
0,56,SHO,0.65,0.0,1100,28000
0,56,SIM,0.70,0.0,1416,40000
0,56,SM,0.90,0.0,1400,38000
0,56,SWEETGUM,0.35,0.0,1100,26000
0,56,SYC,0.65,0.0,1400,38000
