cluster,spcd,common_name,ba_states,is_new_vs_parent,needs_literature,landis_source_hint,longevity,sexual_maturity,shade_tolerance,fire_tolerance,seed_disperse_effective_m,seed_disperse_max_m,veg_reprod_prob,post_fire_regen
R1,202,Douglas-fir,MT:30%;ID:30%;WY:9%,no,no,(in parent pool),,,,,,,,
R1,108,lodgepole pine,MT:21%;ID:11%;WY:25%,yes,yes,Loehman; Sierra/Blue Mtns LANDIS,,,,,,,,
R1,93,Engelmann spruce,MT:10%;ID:6%;WY:15%,yes,yes,Loehman et al.; Creutzburg et al.,,,,,,,,
R1,19,subalpine fir,MT:12%;ID:11%;WY:15%,yes,yes,Loehman et al. (Glacier/N.Rockies LANDIS),,,,,,,,
R1,17,grand fir,ID:14%,no,no,(in parent pool),,,,,,,,
R1,122,ponderosa pine,MT:8%;ID:6%;WY:10%,yes,yes,Creutzburg; Loudermilk Sierra LANDIS,,,,,,,,
R1,242,western redcedar,ID:6%,no,no,(in parent pool),,,,,,,,
R1,65,Utah juniper,WY:6%,yes,yes,derive (PJ woodland; sparse LANDIS lit),,,,,,,,
R1,101,whitebark pine,MT:4%;WY:5%,yes,yes,Keane whitebark LANDIS,,,,,,,,
R1,73,western larch,MT:5%,yes,yes,Loehman et al.,,,,,,,,
R1,746,quaking aspen,WY:4%,yes,yes,aspen - established LANDIS lit,,,,,,,,
R1,66,Rocky Mountain juniper,MT:2%,yes,yes,derive (juniper),,,,,,,,
R1,263,western hemlock,ID:2%,no,no,(in parent pool),,,,,,,,
